inference_target,inference_label,model_artifact,precision,runtime,accelerator,latency_ms,fps,cpu_before,cpu_after
cpu,CPU FP32 ONNX baseline,onnx,FP32,ONNX Runtime,Raspberry Pi 5 CPU,351.3357639312744,2.8462801190817917,25.6,38.0
cpu,CPU FP32 ONNX baseline,onnx,FP32,ONNX Runtime,Raspberry Pi 5 CPU,408.16330909729004,2.449999737143545,37.2,24.1
cpu,CPU FP32 ONNX baseline,onnx,FP32,ONNX Runtime,Raspberry Pi 5 CPU,355.9994697570801,2.8089929478893896,28.7,65.4
cpu,CPU FP32 ONNX baseline,onnx,FP32,ONNX Runtime,Raspberry Pi 5 CPU,213.04965019226074,4.693741571964928,61.0,17.5
